top - 15:18:28 up  1:05,  1 user,  load average: 1,39, 1,28, 1,33
Tasks: 255 total,   4 running, 250 sleeping,   1 stopped,   0 zombie
%Cpu(s): 30,6 us,  2,9 sy,  0,0 ni, 63,7 id,  2,7 wa,  0,0 hi,  0,1 si,  0,0 st
KiB Mem :  6103252 total,   115084 free,  5615760 used,   372408 buff/cache
KiB Swap: 11717628 total, 11491324 free,   226304 used.   137720 avail Mem 
 2521 damian    20   0  167756   1116    864 S   0,0  0,0   0:00.09 gpg-agent
 2531 damian    20   0  727360  21820   3268 S   0,0  0,4   0:07.87 hud-service
 2533 damian    20   0  860364  15856   4544 S   0,0  0,3   0:02.88 unity-sett+
 2539 damian    20   0  338028   3036   2492 S   0,0  0,0   0:00.01 at-spi-bus+
 2541 damian    20   0  566892   3824   1616 S   0,0  0,1   0:00.16 gnome-sess+
 2552 damian    20   0   43024   2492   1872 S   0,0  0,0   0:00.11 dbus-daemon
 2555 damian    20   0  647084  20540   5244 S   0,0  0,3   0:03.92 unity-pane+
 2563 damian    20   0  206884   2776   2144 S   0,0  0,0   0:00.39 at-spi2-re+
 2589 damian    20   0  356112   3584   2540 S   0,0  0,1   0:00.02 indicator-+
 2590 damian    20   0  408360   2976   2408 S   0,0  0,0   0:00.00 indicator-+
 2602 damian    20   0  570588   4120   1472 S   0,0  0,1   0:00.04 indicator-+
 2604 damian    20   0 1234308   4880   2248 S   0,0  0,1   0:00.11 indicator-+
 2605 damian    20   0  715952   7784   2568 S   0,0  0,1   0:00.20 indicator-+
 2606 damian    20   0  738620   3016   1356 S   0,0  0,0   0:00.08 indicator-+
 2607 damian    20   0  622588   6804   2812 S   0,0  0,1   0:00.13 indicator-+
 2608 damian    20   0  954120   1884   1024 S   0,0  0,0   0:00.04 indicator-+
 2613 damian    20   0  476880   3520   1920 S   0,0  0,1   0:00.26 indicator-+
 2657 damian    20   0 1244136   6668   2812 S   0,0  0,1   0:00.09 evolution-+
 2666 damian     9 -11  584768   6824   2668 S   0,0  0,1   0:03.72 pulseaudio
 2679 damian    20   0  178796   3068   2332 S   0,0  0,1   0:00.02 dconf-serv+
 2702 damian    20   0  864256  41236   3312 S   0,0  0,7   0:00.18 evolution-+
 2722 damian    20   0  882768  38764   2400 S   0,0  0,6   0:00.12 evolution-+
 2723 damian    20   0 1558932 128792   7848 S   0,0  2,1   1:28.67 compiz
 2736 damian    20   0  691812   5512   2728 S   0,0  0,1   0:00.05 evolution-+
 2738 damian    20   0 1063628  39152   2684 S   0,0  0,6   0:00.12 evolution-+
 2745 damian    20   0  767304   5264   2760 S   0,0  0,1   0:00.04 evolution-+
 2776 damian    20   0  488380   9308   4640 S   0,0  0,2   0:00.23 notify-osd
 2786 damian    20   0  737260  52960   4152 S   0,0  0,9   0:01.34 gnome-soft+
 2787 damian    20   0  578204   7460   4044 S   0,0  0,1   0:00.13 unity-fall+
 2788 damian    20   0  738396  10900   5292 S   0,0  0,2   0:01.39 nm-applet
 2791 damian    20   0  430656   5056   1780 S   0,0  0,1   0:00.11 polkit-gno+
 2795 damian    20   0 2377084  55260   4088 S   0,0  0,9   0:15.42 zoiper
 2806 damian    20   0 1439872  27816  17372 S   0,0  0,5   0:02.83 nautilus
 2816 damian    20   0  286672   2984   1816 S   0,0  0,0   0:00.11 gvfs-udisk+
 2819 root      20   0  367184   4396   2092 S   0,0  0,1   0:01.71 udisksd
 2829 root      20   0  505992  24716   1204 S   0,0  0,4   0:00.94 fwupd
 2832 damian    20   0 3537636  66860  16732 S   0,0  1,1   0:06.42 skypeforli+
 2840 damian    20   0  404828   3528   2504 S   0,0  0,1   0:00.01 gvfs-afc-v+
 2846 damian    20   0  258756   2804   2312 S   0,0  0,0   0:00.01 gvfs-goa-v+
 2851 damian    20   0  273056   2764   2092 S   0,0  0,0   0:00.01 gvfs-gphot+
 2857 damian    20   0  260860   2364   1812 S   0,0  0,0   0:00.00 gvfs-mtp-v+
 2864 damian    20   0  318024   5784   3132 S   0,0  0,1   0:00.02 skypeforli+
 2870 damian    20   0 3307912 104304     12 S   0,0  1,7   0:10.56 dropbox
 2888 damian    20   0   62516   2284   1680 S   0,0  0,0   0:00.00 gconfd-2
 2906 damian    20   0  625736  13152   3724 S   0,0  0,2   0:00.05 zoiper
 2936 damian    20   0  351900   2916   2204 S   0,0  0,0   0:00.05 gvfsd-trash
 2948 damian    20   0 1973704  49316   5544 S   0,0  0,8   0:08.44 zoiper
 2986 damian    20   0 3462676 129396  24432 S   0,0  2,1   0:07.84 skypeforli+
